"","applicantAge","householdComposition","grossIncome","primaryResidence","homeOwnersInsurance","floodInsurance","ihpEligible","sbaApproved","registrationMethod","homeDamage","destroyed","residenceType"
"72","50-64","1","<$15,000","1","1","0","1","1","Mobile","1","0","House/Duplex"
"73","19-34",">5","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"74","50-64","5","$120,001-$175,000","1","1","0","1","1","Mobile","1","0","House/Duplex"
"75","35-49","2","<$15,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"76","19-34","4","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"77","65+","4","$60,001-$120,000","1","0","0","1","1","Call Center","1","0","House/Duplex"
"78","65+","2","$15,000-$30,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"79","65+","2","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"80","50-64","3","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"81","50-64","1","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"82","50-64","2","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"83","65+","3","<$15,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"84","50-64","1","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"85","50-64","4","$15,000-$30,000","1","1","0","1","1","Mobile","1","0","House/Duplex"
"86","65+","1","<$15,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"87","50-64","4","$15,000-$30,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"88","19-34","4","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"89","50-64","2","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"90","50-64","1","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"91","65+","1","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"92","65+","1","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"93","65+","2","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"94","65+","2","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"95","50-64","3","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"96","50-64","1","$15,000-$30,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"97","50-64","3","<$15,000","1","1","1","1","0","Mobile","1","0","House/Duplex"
"98","50-64","2","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"99","65+","3",">$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"100","50-64","3","<$15,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"101","65+","1","<$15,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"102","50-64","2","$30,001-$60,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"103","50-64","3","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"104","65+","1","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"105","65+","2","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"106","50-64","3","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","Condo"
"107","35-49","4","$60,001-$120,000","1","0","0","1","1","Internet","1","0","Condo"
"108","50-64","3","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"109","50-64","2","$30,001-$60,000","1","1","0","1","1","Call Center","1","0","House/Duplex"
"110","50-64",">5","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"111","65+","1","<$15,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"112","50-64","3","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"113","50-64","5","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"114","65+","2","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"115","50-64","5","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"116","65+","2","$30,001-$60,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"117","65+","1","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"118","35-49",">5","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"119","35-49","4","$120,001-$175,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"120","19-34","5","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"121","35-49","1","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","Apartment"
"122","50-64","4","$30,001-$60,000","1","1","1","1","0","Internet","1","0","House/Duplex"
"123","50-64","2","$15,000-$30,000","1","0","0","1","0","Internet","1","0","Apartment"
"124","50-64","4","<$15,000","1","0","0","0","0","DSAT","1","0","Apartment"
"125","35-49","2","<$15,000","1","0","0","0","0","Call Center","0","0","House/Duplex"
"126","35-49","3","<$15,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"127","35-49","2","$120,001-$175,000","1","1","1","0","0","Internet","1","0","House/Duplex"
"128","50-64","3","$30,001-$60,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"129","35-49","4","$15,000-$30,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"130","50-64","3","$15,000-$30,000","1","1","1","0","0","Internet","1","0","Mobile Home"
"131","35-49","4","$120,001-$175,000","1","1","1","1","0","Internet","1","0","House/Duplex"
"132","19-34","5",">$175,000","1","1","0","0","0","Mobile","1","0","House/Duplex"
"133","50-64","2","<$15,000","1","1","0","0","0","Call Center","1","0","House/Duplex"
"134","50-64","5","<$15,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"135","50-64","3","$30,001-$60,000","1","1","0","0","0","Call Center","1","0","House/Duplex"
"136","35-49","4","$15,000-$30,000","1","1","0","0","0","Mobile","1","0","House/Duplex"
"137","65+","1","$30,001-$60,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"138","65+","3","$15,000-$30,000","1","1","0","0","0","DSAT","1","0","House/Duplex"
"139","50-64","1","$15,000-$30,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"140","50-64","5","$30,001-$60,000","1","1","0","0","0","Call Center","1","0","House/Duplex"
"141","65+","1","$15,000-$30,000","1","1","0","0","0","Call Center","0","0","House/Duplex"
"142","50-64","2","$60,001-$120,000","0","0","0","0","0","Mobile","1","0","House/Duplex"
"143","50-64","1","$15,000-$30,000","0","0","0","1","1","DSAT","1","0","House/Duplex"
"144","35-49","4","<$15,000","1","0","0","0","0","Internet","1","0","Apartment"
"145","65+","1","$15,000-$30,000","1","0","0","0","0","Internet","1","0","House/Duplex"
"146","<19","5","$15,000-$30,000","1","0","0","0","0","Call Center","1","0","Mobile Home"
"147","35-49","2","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"148","50-64","1","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"149","50-64","5","$120,001-$175,000","1","0","0","0","0","Mobile","1","0","Apartment"
"150","35-49","4","$60,001-$120,000","1","0","0","0","0","Internet","1","0","House/Duplex"
"151","50-64","2","<$15,000","1","0","0","1","0","Mobile","1","0","Apartment"
"152","35-49","1","$30,001-$60,000","1","0","0","0","1","Call Center","1","0","House/Duplex"
"153","19-34","4","<$15,000","1","0","0","1","0","DSAT","1","0","House/Duplex"
"154","19-34","5","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"155","19-34","3","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"156","50-64","5","$30,001-$60,000","1","0","0","0","0","Mobile","1","0","House/Duplex"
"157","19-34","4","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"158","35-49","3","$15,000-$30,000","1","0","0","0","0","Mobile","1","0","House/Duplex"
"159","19-34","3","<$15,000","1","0","0","1","0","Mobile","1","0","Apartment"
"160","<19","5","$15,000-$30,000","1","0","0","1","0","Call Center","1","0","Mobile Home"
"161","35-49","3","$30,001-$60,000","1","0","0","0","1","Mobile","1","0","Apartment"
"162","35-49","2","$30,001-$60,000","1","1","0","0","0","Internet","1","0","Condo"
"163","50-64","3","$30,001-$60,000","1","0","0","1","0","Call Center","1","0","Apartment"
"164","19-34","5","$15,000-$30,000","1","0","0","0","0","Mobile","1","0","House/Duplex"
"165","19-34","2","<$15,000","1","0","0","1","0","Mobile","1","0","Apartment"
"166","65+","2","$30,001-$60,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"167","35-49","2","<$15,000","1","0","0","1","0","Mobile","0","0","House/Duplex"
"168","35-49","4","$30,001-$60,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"169","35-49","4","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"170","35-49","4","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"171","50-64","4","$30,001-$60,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"172","19-34",">5","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"173","65+","1","<$15,000","1","0","0","0","0","Internet","1","0","House/Duplex"
"174","65+","2","<$15,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"175","35-49","4","$30,001-$60,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"176","65+","1","<$15,000","1","0","0","0","0","Call Center","1","0","House/Duplex"
"177","35-49","5","<$15,000","1","0","0","0","0","Mobile","1","0","House/Duplex"
"178","19-34","4","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"179","35-49","4","$15,000-$30,000","1","0","0","1","0","Internet","1","0","Apartment"
"180","50-64","2","$15,000-$30,000","1","0","0","0","0","Call Center","1","0","House/Duplex"
"181","35-49","4","$30,001-$60,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"182","35-49","3","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"183","65+","1","<$15,000","1","1","1","1","0","Internet","1","0","House/Duplex"
