"","applicantAge","householdComposition","grossIncome","primaryResidence","homeOwnersInsurance","floodInsurance","ihpEligible","sbaApproved","registrationMethod","homeDamage","destroyed","residenceType"
"912","65+","1","$15,000-$30,000","1","0","0","0","0","Internet","1","0","House/Duplex"
"913","50-64","4","$15,000-$30,000","1","1","0","1","1","Call Center","1","0","House/Duplex"
"914","35-49","3","$15,000-$30,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"915","50-64","5","$60,001-$120,000","1","1","0","0","1","Mobile","1","0","House/Duplex"
"916","65+","3","$15,000-$30,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"917","35-49","4","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"918","19-34",">5","<$15,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"919","35-49",">5","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"920","65+","4","$60,001-$120,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"921","19-34","3","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"922","65+","1","$120,001-$175,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"923","50-64","1","$30,001-$60,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"924","50-64","4","$15,000-$30,000","1","1","0","0","0","Mobile","1","0","House/Duplex"
"925","50-64","1","$15,000-$30,000","1","0","0","0","0","Internet","1","0","Apartment"
"926","50-64","2","$15,000-$30,000","1","1","1","0","0","Call Center","1","0","House/Duplex"
"927","65+","4","$15,000-$30,000","1","1","0","0","0","Call Center","1","0","House/Duplex"
"928","35-49","3","<$15,000","1","0","0","1","0","Internet","1","0","Apartment"
"929","50-64","3","<$15,000","1","0","0","1","0","Mobile","1","0","Apartment"
"930","50-64","5","<$15,000","1","0","0","0","0","Mobile","1","0","House/Duplex"
"931","50-64","1","<$15,000","1","0","0","1","0","Call Center","1","0","Apartment"
"932","19-34","4","$15,000-$30,000","1","0","0","1","0","Call Center","1","0","Apartment"
"933","65+","1","$120,001-$175,000","1","1","1","1","0","Mobile","1","0","House/Duplex"
"934","35-49","3","$30,001-$60,000","1","1","1","1","0","Internet","1","0","House/Duplex"
"935","65+","2","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"936","50-64","3","$60,001-$120,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"937","50-64","5","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"938","65+","2","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"939","65+",">5","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"940","65+","2","$120,001-$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"941","50-64","1","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"942","<19","5","<$15,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"943","50-64","5","$60,001-$120,000","1","1","0","1","1","Mobile","1","0","House/Duplex"
"944","19-34","1","$15,000-$30,000","1","0","0","1","0","Mobile","0","0","Apartment"
"945","50-64","1","$30,001-$60,000","1","0","1","0","0","Internet","0","0","Apartment"
"946","50-64","2","$30,001-$60,000","1","0","0","1","0","Internet","1","0","Apartment"
"947","65+","2","$60,001-$120,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"948","65+","1","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"949","35-49","4","$120,001-$175,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"950","35-49","1","$60,001-$120,000","1","0","0","1","0","Internet","0","0","Apartment"
"951","35-49","3","<$15,000","1","0","0","1","0","Mobile","1","0","Apartment"
"952","65+","1","$30,001-$60,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"953","19-34","1","<$15,000","1","0","0","0","0","Mobile","1","0","Apartment"
"954","19-34","1","$15,000-$30,000","1","0","0","0","0","Mobile","1","0","Apartment"
"955","50-64",">5","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"956","50-64","2","$15,000-$30,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"957","65+","2","$15,000-$30,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"958","50-64","5","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"959","65+","1","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"960","35-49","2",">$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"961","50-64","3","$15,000-$30,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"962","35-49","5","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"963","35-49","3","$15,000-$30,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"964","50-64","5","$60,001-$120,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"965","65+","2","$60,001-$120,000","1","1","1","1","0","Internet","1","0","Condo"
"966","50-64","3",">$175,000","1","1","1","1","1","Internet","1","0","House/Duplex"
"967","35-49",">5","$60,001-$120,000","1","0","1","1","0","Internet","1","0","House/Duplex"
"968","65+","1","$15,000-$30,000","1","1","1","1","0","Internet","1","0","House/Duplex"
"969","35-49","4",">$175,000","1","1","1","1","0","Internet","1","0","House/Duplex"
"970","35-49","4","$120,001-$175,000","1","1","1","1","1","Call Center","1","0","House/Duplex"
"971","35-49","5",">$175,000","1","1","1","1","0","Call Center","1","0","House/Duplex"
"972","35-49","5","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"973","65+","4","$30,001-$60,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"974","19-34","2","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"975","50-64","1","<$15,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"976","65+","3","$15,000-$30,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"977","65+","2","$30,001-$60,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"978","35-49","4","$120,001-$175,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"979","50-64","4","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"980","65+","5","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"981","19-34","4","$60,001-$120,000","1","0","0","0","0","Mobile","1","0","House/Duplex"
"982","65+","2","$15,000-$30,000","1","0","1","1","0","Call Center","1","0","House/Duplex"
"983","65+","2","$15,000-$30,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"984","65+","2",">$175,000","1","1","1","1","0","Mobile","1","0","House/Duplex"
"985","50-64","2","$15,000-$30,000","1","1","0","0","0","Mobile","1","0","House/Duplex"
"986","65+","2","$30,001-$60,000","1","1","1","1","0","Internet","1","0","House/Duplex"
"987","35-49","3",">$175,000","1","1","1","0","0","Internet","1","0","House/Duplex"
"988","19-34","3","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","Mobile Home"
"989","50-64","5","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"990","50-64","2","$30,001-$60,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"991","50-64","5","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"992","35-49","5","$30,001-$60,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"993","19-34","4","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"994","65+","3","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"995","65+",">5","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"996","65+","2","$60,001-$120,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"997","50-64","5",">$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"998","65+","2","$15,000-$30,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"999","<19","4","$15,000-$30,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"1000","50-64","2","$60,001-$120,000","1","1","0","1","1","Mobile","1","0","House/Duplex"
"1001","35-49","4","$120,001-$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1002","50-64","4","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1003","35-49","3","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1004","35-49","3","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1005","50-64","4","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1006","19-34","5","<$15,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1007","19-34","3","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1008","35-49","1","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1009","50-64","2","$15,000-$30,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1010","50-64","1","$30,001-$60,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1011","65+","2","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1012","35-49","2","$30,001-$60,000","1","1","0","1","1","Mobile","1","0","House/Duplex"
"1013","50-64","4","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1014","35-49","2","$120,001-$175,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"1015","50-64","2","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1016","65+","3",">$175,000","1","1","1","1","1","Internet","1","0","House/Duplex"
"1017","35-49","4",">$175,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"1018","65+",">5","$15,000-$30,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"1019","35-49","4","$120,001-$175,000","1","1","0","1","1","Mobile","1","0","House/Duplex"
"1020","35-49",">5","$30,001-$60,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"1021","35-49",">5","$15,000-$30,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"1022","35-49","4","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1023","19-34","4","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1024","35-49","4","$15,000-$30,000","1","0","1","1","0","Internet","1","0","House/Duplex"
"1025","50-64","4","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1026","19-34","4","$30,001-$60,000","1","0","0","1","0","Call Center","1","0","Mobile Home"
"1027","35-49",">5","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1028","35-49","5","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1029","35-49","1","$120,001-$175,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"1030","50-64",">5","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1031","35-49","5","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1032","35-49","2","<$15,000","1","0","0","0","0","Internet","1","0","House/Duplex"
"1033","65+","2","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1034","50-64","1","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1035","50-64","3","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1036","65+","2","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1037","35-49","5",">$175,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"1038","50-64","2","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1039","50-64","2","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1040","35-49",">5","<$15,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"1041","50-64","1","$15,000-$30,000","1","0","0","1","0","Internet","1","0","Apartment"
"1042","35-49","3","$15,000-$30,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"1043","50-64","1","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1044","35-49",">5","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1045","50-64","4","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1046","65+","2","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1047","50-64","3","<$15,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"1048","50-64","2",">$175,000","1","1","0","1","1","Mobile","1","0","House/Duplex"
"1049","65+","2","<$15,000","1","1","1","1","0","Internet","1","0","Condo"
"1050","65+","1","$30,001-$60,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"1051","65+","4","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1052","35-49","3","<$15,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"1053","19-34","5","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1054","50-64","5","$30,001-$60,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"1055","50-64","5","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1056","65+","2","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1057","35-49","4","$30,001-$60,000","1","1","0","1","0","Internet","1","0","Condo"
"1058","35-49","2","<$15,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"1059","35-49","3","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1060","35-49","4","$60,001-$120,000","1","1","0","1","1","Mobile","1","0","House/Duplex"
"1061","65+","5","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1062","50-64","4","$30,001-$60,000","1","1","0","1","1","Call Center","1","0","House/Duplex"
"1063","50-64","1","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1064","50-64","4","$30,001-$60,000","1","1","1","1","0","Internet","1","0","House/Duplex"
"1065","50-64",">5","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1066","65+","2","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1067","50-64","4","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1068","50-64","3","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1069","50-64","4","$120,001-$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1070","50-64","5","$60,001-$120,000","1","0","0","1","1","Internet","1","0","House/Duplex"
"1071","65+","3","$120,001-$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1072","50-64",">5","<$15,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"1073","50-64","2","$60,001-$120,000","1","1","1","1","0","Call Center","1","0","House/Duplex"
"1074","35-49",">5","$120,001-$175,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"1075","65+","1","$60,001-$120,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"1076","<19","5","$15,000-$30,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"1077","50-64","5","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1078","35-49","4","$60,001-$120,000","1","1","0","1","1","Mobile","1","0","House/Duplex"
"1079","19-34","4","$15,000-$30,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"1080","19-34","5","$60,001-$120,000","1","1","1","1","0","Mobile","1","0","House/Duplex"
"1081","65+","1","$30,001-$60,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"1082","35-49","3","$15,000-$30,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1083","35-49","1","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1084","50-64","3","$15,000-$30,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"1085","50-64","2","$120,001-$175,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1086","50-64","2","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1087","35-49","5","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1088","50-64","2","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1089","50-64","2","$30,001-$60,000","1","0","0","1","1","Call Center","1","0","House/Duplex"
"1090","50-64","4","$60,001-$120,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1091","65+","2","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1092","35-49","4","<$15,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1093","19-34","3","$60,001-$120,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1094","35-49","4","$60,001-$120,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"1095","50-64",">5","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1096","50-64","2","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1097","35-49","1","$30,001-$60,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"1098","65+","1","<$15,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"1099","50-64","4","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1100","65+","1","<$15,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1101","50-64","1","<$15,000","1","1","1","1","0","Call Center","1","0","House/Duplex"
"1102","65+","2","<$15,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1103","65+","2","<$15,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1104","65+","2","$15,000-$30,000","1","1","0","1","0","DSAT","1","0","House/Duplex"
"1105","50-64","3","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1106","35-49","5","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1107","35-49","4","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1108","50-64",">5","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1109","35-49","3","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1110","50-64","3","$60,001-$120,000","0","1","0","1","0","Call Center","1","0","House/Duplex"
"1111","35-49","1","<$15,000","1","0","0","0","0","DSAT","1","0","Apartment"
"1112","35-49","4","<$15,000","1","0","0","1","0","Call Center","1","0","Apartment"
"1113","50-64","2","$30,001-$60,000","1","0","0","0","0","Internet","1","0","House/Duplex"
"1114","35-49",">5","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1115","50-64","1","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1116","65+","1","$15,000-$30,000","1","1","1","1","0","Internet","1","0","House/Duplex"
"1117","50-64",">5","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1118","35-49",">5","$15,000-$30,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1119","65+","4","$30,001-$60,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1120","50-64","2","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1121","35-49","1","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1122","50-64","3","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1123","50-64","4","$15,000-$30,000","1","0","0","1","0","Call Center","1","0","Mobile Home"
"1124","65+",">5","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1125","65+","2","$15,000-$30,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"1126","<19","5","<$15,000","1","0","0","1","0","Call Center","1","0","Mobile Home"
"1127","35-49","4","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1128","35-49","4",">$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1129","35-49","4","$120,001-$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1130","50-64","2","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1131","50-64","2","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1132","50-64","2","<$15,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"1133","50-64","2","$30,001-$60,000","1","1","1","0","0","Internet","1","0","House/Duplex"
"1134","19-34","5","$15,000-$30,000","0","0","0","1","0","Mobile","1","0","Townhouse"
"1135","50-64","1","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1136","35-49","3","$15,000-$30,000","1","1","1","1","0","Call Center","1","0","House/Duplex"
"1137","65+","4","$30,001-$60,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1138","35-49","3","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1139","35-49","3","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1140","35-49","4","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1141","50-64","2","$120,001-$175,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1142","19-34","1","<$15,000","1","0","0","1","0","Internet","1","0","Condo"
"1143","50-64","2","$30,001-$60,000","1","0","0","1","0","Internet","1","0","Apartment"
"1144","50-64","3","$15,000-$30,000","1","0","0","1","0","Call Center","1","0","Apartment"
"1145","19-34","4","<$15,000","1","0","0","1","0","Internet","0","0","House/Duplex"
"1146","35-49","5","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","Apartment"
"1147","50-64","1","<$15,000","1","0","0","1","0","Call Center","1","0","Apartment"
"1148","50-64","1","$60,001-$120,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1149","35-49","4","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1150","65+","1","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1151","50-64","4",">$175,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1152","50-64","1","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1153","65+","4","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1154","65+","1","$30,001-$60,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"1155","19-34","3","$60,001-$120,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"1156","35-49",">5","<$15,000","1","0","0","1","0","Internet","1","0","Apartment"
"1157","35-49","2","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1158","35-49","1","$15,000-$30,000","1","0","0","1","0","DSAT","1","0","Apartment"
"1159","19-34","1","$15,000-$30,000","1","0","0","1","0","Internet","1","0","Apartment"
"1160","35-49","3","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","Apartment"
"1161","65+","1","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1162","50-64",">5","$30,001-$60,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"1163","35-49","4","$15,000-$30,000","1","1","1","1","0","Internet","1","0","House/Duplex"
"1164","50-64","2","$15,000-$30,000","1","0","0","0","0","Internet","1","0","House/Duplex"
"1165","65+","3","$15,000-$30,000","1","0","0","1","0","Mobile","0","0","House/Duplex"
"1166","50-64","1","$15,000-$30,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1167","50-64","3","$15,000-$30,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"1168","35-49","3","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1169","50-64","5","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1170","50-64","3",">$175,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"1171","35-49","4","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1172","65+","4","<$15,000","1","0","1","1","0","Internet","1","0","House/Duplex"
"1173","50-64","1","<$15,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1174","19-34","4","<$15,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1175","65+","2","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1176","50-64","4","$30,001-$60,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1177","65+","1","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1178","50-64",">5","$15,000-$30,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"1179","19-34","3","$30,001-$60,000","1","0","0","0","0","Mobile","1","0","House/Duplex"
"1180","19-34","3","$15,000-$30,000","1","1","0","0","0","Internet","1","0","House/Duplex"
"1181","35-49","3","$15,000-$30,000","1","1","1","1","0","Internet","1","0","House/Duplex"
"1182","35-49",">5","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1183","35-49","4","$30,001-$60,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1184","50-64","4","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1185","35-49","4","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1186","50-64","1","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1187","50-64","2","$15,000-$30,000","1","0","0","1","0","Internet","1","0","Mobile Home"
"1188","65+","1","$15,000-$30,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"1189","65+","2","<$15,000","1","0","0","1","0","Call Center","1","0","Condo"
"1190","35-49",">5","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1191","35-49",">5","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1192","65+","3","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1193","50-64","2","$60,001-$120,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"1194","35-49","5","$60,001-$120,000","1","0","1","1","0","Call Center","1","0","House/Duplex"
"1195","35-49","3","$120,001-$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1196","35-49","3","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1197","19-34","4","$30,001-$60,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1198","50-64","3","$15,000-$30,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1199","35-49","3","$30,001-$60,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"1200","65+","2","$30,001-$60,000","1","0","1","1","0","Mobile","1","0","House/Duplex"
"1201","19-34","5","$30,001-$60,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"1202","50-64","2","$60,001-$120,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1203","35-49","4","<$15,000","1","1","0","1","1","Mobile","1","0","House/Duplex"
"1204","35-49","4","$30,001-$60,000","1","0","0","1","1","Internet","1","0","House/Duplex"
"1205","35-49","5","$60,001-$120,000","1","1","0","1","1","Internet","1","0","House/Duplex"
"1206","35-49","4","$120,001-$175,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1207","35-49","5","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1208","35-49","4","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1209","19-34",">5","<$15,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1210","65+","3","$15,000-$30,000","1","0","0","1","0","Call Center","1","0","House/Duplex"
"1211","<19","4","$15,000-$30,000","1","1","0","1","0","Call Center","1","0","House/Duplex"
"1212","65+","2","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1213","19-34","5","$15,000-$30,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1214","35-49","3","$60,001-$120,000","1","1","0","1","0","Internet","1","0","House/Duplex"
"1215","19-34","3","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1216","50-64","1","$30,001-$60,000","1","0","0","1","0","Internet","1","0","House/Duplex"
"1217","50-64",">5","<$15,000","1","0","0","1","0","Mobile","1","0","House/Duplex"
"1218","50-64","2","$30,001-$60,000","1","1","0","1","0","Mobile","1","0","House/Duplex"
"1219","50-64","2","<$15,000","1","0","0","1","0","Mobile","1","0","Mobile Home"
"1220","50-64","1","<$15,000","1","0","0","1","0","DSAT","1","0","House/Duplex"
